HIP, HD, RAdeg, DEdeg, RAhms, DEdms, Plx(mas), e_Plx(mas), distance_Plx(pc), Vmag, MV, MV_error, VTmag, MVt, MVt_error, B_menos_V(mag), BT_menos_VT(mag)
54288,\N,166.59515966,-35.74830394,11,-35,39.11,2.6,25.5689,9.62,7.581439079760653,0.14457089224025932,9.798,7.759439079760654,0.14457089224025932,1.27,1.509
61329,"109333",188.50019977,-14.63859695,12,-14,39.11,1.17,25.5689,9.1,7.061439079760653,0.06498033832234151,9.275,7.236439079760654,0.06498033832234151,1.103,1.334
64113,\N,197.10337951,16.97198984,13,16,39.12,4.13,25.5624,11.83,9.791994230577819,0.23010542329481698,\N,\N,\N,1.575,\N
106913,"205905",324.7912445,-27.30636802,21,-27,39.13,0.83,25.5558,6.75,4.712549239503401,0.046066763963305224,6.807,4.769549239503402,0.046066763963305224,0.623,0.703
27075,"38382",86.11835896,-20.1266631,5,-20,39.15,0.74,25.5428,6.34,4.303658831969812,0.041049322861658855,6.407,4.370658831969812,0.041049322861658855,0.58,0.629
9716,"12786",31.24714248,-15.67799402,2,-15,39.16,1.11,25.5363,7.79,5.7542134156555,0.06156742125210002,7.852,5.816213415655501,0.06156742125210002,0.832,0.961
12186,"16417",39.24425358,-34.57734519,2,-34,39.16,0.64,25.5363,5.78,3.7442134156555005,0.035491984052977266,5.855,3.8192134156555015,0.035491984052977266,0.653,0.73
51473,\N,157.71278776,-35.77760747,10,-35,39.16,2.17,25.5363,11.22,9.184213415655499,0.12045268491578476,\N,\N,\N,1.446,\N
93747,"177724",286.3525518,13.86370983,19,13,39.18,0.72,25.5232,2.99,0.9553221582935887,0.039909039460718,2.991,0.9563221582935881,0.039909039460718,0.014,0.033
111170,"213429",337.82590786,-6.55488734,22,-6,39.18,1.83,25.5232,6.15,4.115322158293589,0.10149790784016766,6.22,4.185322158293589,0.10149790784016766,0.565,0.614
897,\N,2.76858844,-5.78399441,0,-5,39.19,2.29,25.5167,10.86,8.825876317390513,0.12703095389485775,\N,\N,\N,1.418,\N
16209,\N,52.21798939,37.38503584,3,37,39.19,2.52,25.5167,11.1,9.065876317390515,0.13982319971307078,\N,\N,\N,1.314,\N
32939,\N,102.92760534,-43.88722884,6,-43,39.19,1.01,25.5167,10.06,8.025876317390516,0.05597532256705584,10.288,8.253876317390514,0.05597532256705584,1.086,1.495
47645,\N,145.70723284,-22.96429831,9,-22,39.19,53.37,25.5167,10.92,8.885876317390515,\N,10.732,8.697876317390513,\N,0.746,0.828
98192,"189087",299.30561123,29.82344076,19,29,39.24,0.97,25.4842,7.91,5.878644993539556,0.05368902719603019,7.989,5.957644993539557,0.05368902719603019,0.797,0.915
3170,"3823",10.10273354,-59.45568115,0,-59,39.26,0.56,25.4712,5.89,3.859751476319939,0.030975726681198523,5.96,3.9297514763199395,0.030975726681198523,0.564,0.611
10312,\N,33.2112883,-17.68721593,2,-17,39.26,2.63,25.4712,11.1,9.06975147631994,0.14568360424168603,\N,\N,\N,1.455,\N
73362,\N,224.88316855,-44.09407201,14,-44,39.27,1.5,25.4647,10.17,8.140304506352091,0.08298431656158023,10.267,8.23730450635209,0.08298431656157845,1.318,1.447
42418,"73512",129.75127025,6.95617207,8,6,39.28,1.21,25.4582,7.9,5.8708573955745615,0.06691224988511602,8.024,5.99485739557456,0.06691224988511602,0.897,1.044
10925,"14629",35.17819775,-39.03366485,2,-39,39.3,1.07,25.4453,8.67,6.641962751877134,0.059136128478215255,8.79,6.7619627518771335,0.059136128478215255,1.031,1.213
1608,\N,5.03456191,-17.06135622,0,-17,39.31,3.03,25.4388,11.67,9.64251521910045,0.16770893823833966,\N,\N,\N,1.49,\N
36853,\N,113.6625046,22.33786439,7,22,39.31,3.31,25.4388,11.53,9.502515219100449,0.1832773615272396,\N,\N,\N,1.498,\N
83363,"153284",255.56822858,-61.56811462,17,-61,39.32,1.33,25.4323,8.74,6.713067545800491,0.0734781409384162,8.849,6.822067545800491,0.0734781409384162,1.035,1.245
90979,\N,278.37084801,-11.6354613,18,-11,39.34,1.76,25.4194,10.03,8.00417177791659,0.09721261527890634,10.056,8.030171777916589,0.09721261527890634,1.263,1.334
75266,"136834",230.67816257,1.41951111,15,1,39.35,1.37,25.413,8.28,6.254723683475417,0.07563202231925858,8.372,6.3467236834754175,0.07563202231925858,0.992,1.2
80468,\N,246.37191811,43.72996989,16,43,39.35,18.4,25.413,11.87,9.844723683475419,1.1009199031546704,\N,\N,\N,\N,\N
117946,"224129",358.8602775,22.19364366,23,22,39.35,1.16,25.413,8.77,6.744723683475417,0.06403146202567589,8.903,6.877723683475418,0.06403146202567589,1.02,1.246
102226,"197396",310.70587871,20.84547031,20,20,39.38,1.03,25.3936,8.26,6.236378559010497,0.05680870539412064,8.37,6.346378559010496,0.05680870539412064,0.889,1.034
110066,"211369",334.41352404,-48.65023722,22,-48,39.38,1.13,25.3936,8.4,6.376378559010497,0.06232700923487933,8.52,6.4963785590104965,0.06232700923487933,0.961,1.129
105675,"203413",321.0635194,-58.69225955,21,-58,39.39,1.26,25.3872,8.68,6.656929904045709,0.06948436164104077,8.791,6.76792990404571,0.06948436164104077,1.063,1.253
34673,\N,107.70776512,-14.43377333,7,-14,39.4,1.44,25.3807,9.96,7.937481109127873,0.07939882414904442,10.116,8.093481109127872,0.07939882414904442,1.311,1.325
88771,"165777",271.8375861,9.56365345,18,9,39.4,0.83,25.3807,3.71,1.687481109127873,0.0457509842630488,3.737,1.7144811091278722,0.0457509842630488,0.159,0.166
90306,\N,276.38327301,38.35532929,18,38,39.4,1.79,25.3807,11.28,9.257481109127873,0.0987211463350457,\N,\N,\N,1.442,\N
117697,\N,358.04445748,-19.65459561,23,-19,39.4,3.4,25.3807,11.69,9.667481109127873,0.1878531706147113,\N,\N,\N,1.474,\N
94650,"180263",288.89560006,11.55513788,19,11,39.43,1.01,25.3614,8.06,6.039133885366117,0.055634465983221304,8.165,6.144133885366116,0.055634465983221304,0.908,1.058
118310,"224660",359.94925671,6.66456539,23,6,39.43,1.36,25.3614,8.85,6.829133885366116,0.07492707125681841,9.097,7.076133885366116,0.07492707125681841,1.187,1.405
77908,"142288",238.6607435,-26.00442587,15,-26,39.45,8.88,25.3485,9.2,7.180235037727195,0.49730339103197885,9.344,7.324235037727195,0.49730339103197885,1.234,1.516
39494,\N,121.09423113,43.96171622,8,43,39.46,1.58,25.3421,9.83,7.810785404580862,0.08699345443131001,10.012,7.992785404580863,0.08699345443131001,1.27,1.578
18180,\N,58.33331726,-37.06378375,3,-37,39.48,2.69,25.3293,12.13,10.111885719987995,0.1481845329593412,\N,\N,\N,1.45,\N
57866,"103072",178.03466294,18.75591791,11,18,39.48,1.58,25.3293,8.4,6.381885719987996,0.08694933766625246,8.504,6.485885719987995,0.08694933766625246,0.86,1.018
62387,\N,191.79002178,-49.47230003,12,-49,39.48,64.77,25.3293,12.53,10.511885719987998,\N,\N,\N,\N,\N,\N
74605,"136064",228.65834777,67.34767598,15,67,39.51,0.47,25.31,5.15,3.1335351484072334,0.02583245196860906,5.213,3.196535148407232,0.02583245196860906,0.55,0.589
116838,"222474",355.21377651,20.36573335,23,20,39.51,1.85,25.31,8.27,6.253535148407233,0.10175053601310013,8.465,6.448535148407233,0.10175053601310013,1.113,1.288
117542,"223515",357.56157179,-29.40177067,23,-29,39.53,1.13,25.2972,7.88,5.864634071714855,0.062090374836222484,7.94,5.924634071714854,0.062090374836222484,0.839,0.994
4328,\N,13.85453209,-51.83348668,0,-51,39.56,3.38,25.2781,12.38,10.366281414625709,0.18598369394108705,\N,\N,\N,1.47,\N
51928,\N,159.11904377,-28.45424333,10,-28,39.56,3.14,25.2781,11.98,9.96628141462571,0.17271983391530732,\N,\N,\N,1.464,\N
52470,"92786",160.89214187,48.21368383,10,48,39.56,0.99,25.2781,8.02,6.006281414625709,0.05435304920283279,8.083,6.06928141462571,0.05435304920283279,0.749,0.864
87773,\N,268.95845088,33.42120836,17,33,39.56,2.14,25.2781,10.16,8.14628141462571,0.11758067952441653,10.392,8.37828141462571,0.11758067952441653,1.185,1.494
114379,"218738",347.48847477,47.95834319,23,47,39.56,7.67,25.2781,7.91,5.89628141462571,0.42640856583435216,8.022,6.00828141462571,0.42640856583435216,0.9,1.043
100111,"351880",304.62751329,19.03105653,20,19,39.57,32.67,25.2717,11.54,9.52683025133014,2.549821616420484,\N,\N,\N,0.448,\N
26501,"37706",84.53956879,-46.10490664,5,-46,39.59,0.94,25.2589,7.33,5.3179275087610245,0.051567763718373794,7.58,5.5679275087610245,0.051567763718373794,0.769,0.813
61099,"108984",187.82627565,20.21822902,12,20,39.62,0.95,25.2398,7.91,5.8995723560126425,0.05207708907815123,8.014,6.003572356012642,0.05207708907815123,0.863,1
88945,"166435",272.33888844,29.95156418,18,29,39.62,0.68,25.2398,6.84,4.829572356012642,0.03727274739274167,6.911,4.900572356012642,0.03727274739274167,0.633,0.685
66704,"119124",205.09728108,50.51927223,13,50,39.64,0.71,25.227,6.31,4.300668229066191,0.03889783834981797,6.393,4.383668229066191,0.03889783834981797,0.537,0.571
94981,"181655",289.9126806,37.33098454,19,37,39.64,0.56,25.227,6.29,4.2806682290661895,0.030678745094337323,6.358,4.348668229066191,0.030678745094337323,0.676,0.779
32765,"50223",102.47757095,-46.61547007,6,-46,39.66,0.53,25.2143,5.14,3.13176354934642,0.029020395728386994,5.199,3.1907635493464195,0.029020395728386994,0.46,0.48
36927,"61214",113.86227454,-52.44316453,7,-52,39.66,0.8,25.2143,8.78,6.771763549346419,0.04380770542755563,8.926,6.91776354934642,0.04380770542755563,1.049,1.214
55052,\N,169.02915001,-30.17838603,11,-30,39.68,2.2,25.2016,10.35,8.342858317410705,0.12051772697766161,10.465,8.457858317410706,0.12051772697765983,1.226,1.454
83451,"154712",255.82945718,59.58477314,17,59,39.71,1.57,25.1826,8.61,6.604499435319415,0.0858974997729205,8.732,6.726499435319415,0.0858974997729205,1.019,1.245
28360,"40183",89.88237261,44.94743492,5,44,39.72,0.78,25.1762,1.9,-0.10495380088328154,0.04264769007663949,1.904,-0.10095380088328199,0.04264769007663949,0.077,0.085
34950,"55458",108.47238707,25.01159218,7,25,39.72,1.29,25.1762,8.4,6.3950461991167185,0.0705484620578396,\N,\N,\N,0.827,\N
90864,"171067",278.0433192,13.73626659,18,13,39.73,0.9,25.1699,7.2,5.195592825276814,0.04919857945090955,7.27,5.265592825276815,0.04919857945090955,0.692,0.779
95575,"183255",291.60655771,49.46357557,19,49,39.73,1.03,25.1699,8.01,6.005592825276815,0.056308025788692984,8.129,6.124592825276815,0.056308025788692984,0.929,1.111
48509,\N,148.39169496,50.75104725,9,50,39.75,3.27,25.1572,12.02,10.016685664962445,0.17903894098766227,\N,\N,\N,1.51,\N
51254,"90663",157.0434532,6.73433015,10,6,39.75,1.54,25.1572,8.53,6.526685664962446,0.08416961296573344,8.628,6.624685664962446,0.08416961296573344,0.92,1.07
24502,\N,78.8483901,32.68475457,5,32,39.77,22.4,25.1446,7.94,5.937777954929902,1.3844526223026437,7.917,5.914777954929902,1.3844526223026437,0.41,0.432
12706,"16970",40.82551897,3.23617162,2,3,39.78,0.95,25.1383,3.47,1.4683238939420864,0.05186754884987543,3.46,1.4583238939420866,0.05186754884987543,0.093,0.138
75798,\N,232.28043419,-17.3818413,15,-17,39.78,2,25.1383,10.53,8.528323893942085,0.10926620514618612,10.691,8.689323893942086,0.10926620514618612,1.423,1.304
76233,"138763",233.58692775,-5.69510689,15,-5,39.78,0.83,25.1383,6.52,4.518323893942085,0.04531381870363438,6.585,4.583323893942087,0.04531381870363438,0.577,0.632
77268,"329868",236.63422693,-47.23252006,15,-47,39.78,2.62,25.1383,10.63,8.628323893942087,0.14322537817782077,10.974,8.972323893942086,0.14322537817782077,1.309,1.487
86742,"161096",265.86823714,4.56691684,17,4,39.78,0.75,25.1383,2.76,0.7583238939420855,0.04094513115111065,2.899,0.8973238939420858,0.04094513115111065,1.168,1.405
106972,\N,324.97580829,27.61262152,21,27,39.78,3.7,25.1383,11.62,9.618323893942087,0.2025575163608817,\N,\N,\N,1.515,\N
112245,"215500",341.02399013,64.57139372,22,64,39.82,0.71,25.113,7.5,5.500506278456955,0.03872196947390627,7.587,5.587506278456955,0.03872196947390627,0.719,0.794
17157,\N,55.12209173,-47.92538868,3,-47,39.84,1.11,25.1004,9.59,7.591596648758306,0.0605160227758863,9.758,7.759596648758305,0.0605160227758863,1.267,1.493
65327,"238224",200.84648954,57.9061585,13,57,39.84,1.44,25.1004,9.69,7.691596648758305,0.07852116062906012,9.851,7.852596648758307,0.07852116062906012,1.262,1.394
107968,\N,328.10570848,2.38950195,21,2,39.84,4.47,25.1004,12.74,10.741596648758303,0.2446667255421513,\N,\N,\N,-0.011,\N
83147,\N,254.88826284,-26.26718398,16,-26,39.86,11.61,25.0878,10.38,8.382686471822346,0.6513392902367805,10.337,8.339686471822343,0.6513392902367814,1.356,1.394
17207,\N,55.29394467,3.61195407,3,3,39.87,2.01,25.0815,9.61,7.613231178311972,0.10956515844756742,9.839,7.842231178311973,0.10956515844756742,1.36,1.778
54513,\N,167.30181297,-4.60671132,11,-4,39.87,2.45,25.0815,11.22,9.223231178311972,0.13360468965784644,\N,\N,\N,1.446,\N
21492,\N,69.24295431,59.36696523,4,59,39.88,5.06,25.0752,12.35,10.353775748198093,0.2770107532544941,\N,\N,\N,\N,\N
45116,\N,137.87963821,46.61716909,9,46,39.89,2.32,25.0689,10.94,8.944320181549198,0.12643539272755788,\N,\N,\N,1.402,\N
35872,"57901",110.94589902,12.96575197,7,12,39.91,1.14,25.0564,8.19,6.1954086389201155,0.0620434011206239,8.288,6.293408638920116,0.0620434011206239,0.959,1.157
106231,\N,322.75678551,23.33573366,21,23,39.91,1.18,25.0564,9.23,7.235408638920116,0.06422161068947085,9.351,7.356408638920117,0.06422161068947085,1.05,1.22
21223,"29086",68.28897895,-36.94615167,4,-36,39.93,0.93,25.0438,8.74,6.746496550971689,0.050584388174824024,8.871,6.877496550971689,0.050584388174824024,0.99,1.191
63121,"112412",194.00251587,38.31469771,12,38,39.95,23.72,25.0313,5.61,3.6175839182500518,1.4840408250940254,5.517,3.524583918250052,1.4840408250940254,0.337,0.344
73252,\N,224.56583584,59.58329977,14,59,39.95,0.92,25.0313,10.2,8.207583918250052,0.050015216075862234,10.261,8.268583918250052,0.050015216075862234,1.565,1.449
110774,\N,336.6350724,63.87867078,22,63,39.97,1.28,25.0188,9.52,7.528670741300524,0.06956305791174744,9.673,7.6816707413005245,0.06956305791174744,1.102,1.49
23941,"33256",77.18194475,-4.45624625,5,-4,39.99,0.7,25.0063,5.11,3.119757020667609,0.03801415260369767,5.17,3.1797570206676093,0.03801415260369767,0.455,0.469
74261,\N,227.64986131,-42.97627919,15,-42,39.99,2.41,25.0063,10.63,8.63975702066761,0.1310227020705641,\N,\N,\N,1.406,\N
32423,"263175",101.52236005,32.55543654,6,32,40.02,1.22,24.9875,8.8,6.811385421500964,0.06621732754317877,8.899,6.910385421500963,0.06621732754317877,0.964,1.164
67655,"120559",207.91996891,-57.43465194,13,-57,40.02,1,24.9875,7.97,5.981385421500964,0.05427097743462017,8.032,6.043385421500964,0.05427097743462017,0.663,0.726
60994,"108799",187.52054829,-13.39305238,12,-13,40.03,0.98,24.9813,6.37,4.381927950525525,0.0531718276854134,6.459,4.4709279505255255,0.0531718276854134,0.591,0.631
59774,"106591",183.85603795,57.03259792,12,57,40.05,0.6,24.9688,3.32,1.3330126021012827,0.03253385596161973,3.314,1.3270126021012825,0.03253385596161973,0.077,0.107
63503,"113139",195.18160731,56.36633134,13,56,40.06,0.6,24.9626,4.93,2.943554724787787,0.032525733464618956,4.983,2.9965547247877877,0.032525733464618956,0.368,0.392
60866,"108581",187.13120324,-18.29685881,12,-18,40.09,1.23,24.9439,9.24,7.25518028125261,0.06664379145954813,9.386,7.401180281252609,0.06664379145954813,1.218,1.387
114066,\N,346.51923273,63.92635285,23,63,40.09,1.48,24.9439,10.87,8.885180281252609,0.08020055720541475,\N,\N,\N,1.44,\N
24786,"34721",79.7093162,-18.13019946,5,-18,40.11,0.76,24.9314,5.96,3.9762633099082354,0.0411497525412754,6.023,4.039263309908234,0.0411497525412754,0.572,0.628
29067,\N,91.98052613,67.97709065,6,67,40.12,1.78,24.9252,9.75,7.766804621741903,0.09640478606062919,9.89,7.9068046217419035,0.09640478606062919,1.25,1.501
92756,\N,283.52696106,-54.3530351,18,-54,40.13,10.43,24.919,10.43,8.447345798669193,0.5776265398927904,10.231,8.248345798669195,0.5776265398927904,1.27,1.374
94336,"179957",288.02173147,49.85423807,19,49,40.16,0.83,24.9004,5.85,3.868968520684816,0.04488492976688763,6.569,4.587968520684817,0.04488492976688763,0.666,0.725
84487,\N,259.08395542,-12.17809864,17,-12,40.17,1.85,24.8942,10.47,8.489509158658358,0.10007636915856732,10.484,8.503509158658357,0.10007636915856732,1.429,1.679
15973,\N,51.41432881,-42.98635674,3,-42,40.18,1.9,24.888,11.26,9.280049662061153,0.1027595051021919,\N,\N,\N,1.439,\N
83454,\N,255.83413265,59.58718409,17,59,40.18,4.76,24.888,10.34,8.36004966206115,0.25846127807263475,10.193,8.213049662061152,0.25846127807263564,1.369,1.845
65477,"116842",201.30589832,54.98799884,13,54,40.19,0.57,24.8818,3.99,2.0105900309601754,0.030799260329650746,4.023,2.043590030960175,0.030799260329650746,0.169,0.202
76603,"139461",234.66696618,-8.79142377,15,-8,40.19,3.62,24.8818,6.45,4.4705900309601745,0.196120732100328,6.532,4.552590030960175,0.196120732100328,0.505,0.521
73631,\N,225.7659116,-46.29379766,15,-46,40.22,1.54,24.8633,9.87,7.892210331303616,0.08318506145810423,9.927,7.949210331303616,0.08318506145810423,1.188,1.651
87579,\N,268.37492306,21.32515234,17,21,40.22,1.04,24.8633,8.5,6.522210331303617,0.05616197994603844,8.611,6.6332103313036175,0.05616197994603844,0.94,1.114
117559,\N,357.6153715,30.35323272,23,30,40.24,1.36,24.8509,9.35,7.373289860239355,0.07341768593126474,9.518,7.541289860239356,0.07341768593126474,1.226,1.481
1598,"1562",5.00213822,38.22806865,0,38,40.25,0.81,24.8447,6.97,4.993829423519438,0.043705096913498664,7.042,5.065829423519437,0.043705096913498664,0.64,0.693
73100,"132254",224.09558479,49.62899937,14,49,40.25,0.54,24.8447,5.63,3.653829423519438,0.029134545633028974,5.693,3.716829423519437,0.029134545633028974,0.533,0.565
66587,\N,204.74430485,-6.23635436,13,-6,40.27,2.1,24.8324,10.73,8.75490814803716,0.11334076012972716,11.065,9.08990814803716,0.11334076012972716,1.419,1.564
62956,"112185",193.5068041,55.95984301,12,55,40.3,0.62,24.8139,1.76,-0.21347476929445186,0.033409903894953796,1.764,-0.2094747692944514,0.033409903894953796,-0.022,0.049
36827,"60491",113.6092288,-6.89657277,7,-6,40.32,1.26,24.8016,8.16,6.187602617187347,0.0678806151090372,8.252,6.279602617187347,0.0678806151090372,0.9,1.011
66578,\N,204.71321916,70.28551338,13,70,40.33,2.89,24.7954,12.79,10.818141110038093,0.1558723062028875,\N,\N,\N,-0.112,\N
55507,\N,170.52466408,46.90871853,11,46,40.36,1.48,24.777,9.8,7.829755787824366,0.07966354901245198,9.938,7.967755787824366,0.07966354901245198,1.337,1.663
29548,\N,93.39608065,63.39464091,6,63,40.38,1.41,24.7647,9.67,7.700831573038103,0.07585491337733918,9.779,7.809831573038103,0.07585491337733918,1.21,1.389
10688,\N,34.39039667,-53.98996844,2,-53,40.4,2.95,24.7525,11.48,9.511906825553027,0.15884319944185954,\N,\N,\N,1.446,\N
8190,\N,26.32451293,46.53498099,1,46,40.43,2.67,24.7341,11.42,9.453518706668374,0.14361321133675098,\N,\N,\N,1.33,\N
113201,\N,343.86276157,-52.30234371,22,-52,40.44,3.02,24.728,11.6,9.63405573459482,0.16246484705128772,\N,\N,\N,1.653,\N
117886,\N,358.69304607,-21.77482015,23,-21,40.44,2.41,24.728,10.8,8.83405573459482,0.1295612521190863,\N,\N,\N,1.431,\N
74975,"136202",229.82741626,1.76665611,15,1,40.46,0.81,24.7158,5.04,3.07512939217393,0.04347819305948297,5.112,3.147129392173931,0.04347819305948297,0.54,0.583
36635,\N,113.00956625,68.62127385,7,68,40.48,2.14,24.7036,10.84,8.876202519158715,0.11490334209034891,10.935,8.971202519158716,0.11490334209034803,1.494,1.348
12623,"16739",40.5622035,40.19438688,2,40,40.52,1.25,24.6792,4.91,2.9483471834412143,0.06700893498675775,4.962,3.000347183441214,0.06700893498675775,0.582,0.641
15442,"20619",49.75727628,-2.84294728,3,-2,40.52,0.98,24.6792,7.05,5.088347183441215,0.05252857933609789,7.121,5.159347183441215,0.05252857933609789,0.655,0.721
30256,\N,95.47586513,-22.72401646,6,-22,40.52,9.15,24.6792,10.76,8.798347183441214,0.498949103243695,11.171,9.209347183441214,0.4989491032436959,1.44,1.208
64690,"113283",198.8728529,-87.56030424,13,-87,40.52,0.56,24.6792,7.11,5.148347183441214,0.030012388428239056,7.183,5.221347183441214,0.030012388428239056,0.71,0.781
54155,"96064",166.17323941,-4.220837,11,-4,40.57,1.4,24.6488,7.64,5.681025038521631,0.07496349415905978,7.534,5.575025038521631,0.07496349415905978,0.77,0.967
57494,"102392",176.76648871,-11.82390048,11,-11,40.57,2.66,24.6488,9.03,7.07102503852163,0.1425786277680423,9.18,7.22102503852163,0.1425786277680423,1.126,1.425
37798,\N,116.25476091,2.13787935,7,2,40.58,2.18,24.6427,10.19,8.231560213486635,0.11676618042302422,10.228,8.269560213486635,0.11676618042302422,1.349,1.665
60093,\N,184.85216737,28.38217879,12,28,40.58,1.94,24.6427,10.62,8.661560213486634,0.1038903452695088,\N,\N,\N,1.439,\N
57493,\N,176.76434019,50.97206679,11,50,40.61,1.52,24.6245,9.51,7.553164947450185,0.08131447173650175,9.682,7.725164947450185,0.08131447173650175,1.252,1.507
51933,"91889",159.13426115,-12.22848702,10,-12,40.67,0.68,24.5881,5.71,3.756370862022939,0.036310274387609365,5.773,3.8193708620229376,0.036310274387609365,0.528,0.562
34567,"54371",107.39779027,25.72907423,7,25,40.68,1.02,24.5821,7.09,5.136904721253536,0.0544583627611841,7.159,5.205904721253537,0.0544583627611841,0.7,0.793
9269,"12051",29.77693064,33.21053783,1,33,40.74,0.9,24.5459,7.14,5.190105123320727,0.047978477717093515,7.221,5.2711051233207264,0.047978477717093515,0.773,0.901
86346,"160934",264.66526651,61.23766799,17,61,40.75,12.06,24.5399,10.29,8.340638065379977,0.6624640481062412,10.32,8.370638065379978,0.6624640481062412,1.591,1.549
98416,"189340",299.94787255,-9.95728408,19,-9,40.75,1.35,24.5399,5.87,3.9206380653799773,0.07196468502523512,5.928,3.978638065379979,0.07196468502523512,0.598,0.654
44263,\N,135.21031134,5.24204999,9,5,40.77,6.57,24.5278,12.37,10.421703557260784,0.3530053688423216,\N,\N,\N,1.455,\N
73241,"131923",224.53672527,-48.8621921,14,-48,40.79,0.86,24.5158,6.34,4.392768526585473,0.04578923887117181,6.425,4.477768526585474,0.04578923887117181,0.708,0.782
110922,\N,337.09753455,-25.90131026,22,-25,40.81,7.66,24.5038,11.97,10.023832973866353,0.412473717454918,\N,\N,\N,\N,\N
114570,"219080",348.13717883,49.40597489,23,49,40.82,0.57,24.4978,4.53,2.5843650019002578,0.030323854242181092,4.57,2.6243650019002587,0.030323854242181092,0.302,0.328
17666,"23439",56.75687379,41.43027841,3,41,40.83,2.24,24.4918,7.67,5.724896899614986,0.11925023297800807,\N,\N,\N,0.796,\N
64550,"114853",198.46798635,-45.18553071,13,-45,40.87,0.84,24.4678,6.93,4.987023188557968,0.04463649935181557,6.998,5.055023188557968,0.04463649935181557,0.643,0.71
42913,"74956",131.17582214,-54.70856797,8,-54,40.9,0.38,24.4499,1.93,-0.011383459963290932,0.020175629827280606,1.949,0.007616540036709196,0.020175629827280606,0.043,0.101
40170,\N,123.06061617,51.90758949,8,51,40.94,1.87,24.426,10.2,8.260739191632435,0.09925454152381263,10.339,8.399739191632436,0.09925454152381263,1.319,1.785
99880,\N,303.96927228,42.979203,20,42,40.97,1.21,24.4081,9.98,8.042329819765712,0.06415049919548022,10.179,8.241329819765713,0.06415049919548022,1.266,1.509
90376,\N,276.61971298,79.42237979,18,79,40.98,0.89,24.4021,9.24,7.302859770325882,0.047167261601771315,9.438,7.500859770325882,0.047167261601771315,1.166,1.378
