designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Plx,e_Plx
Gaia DR3 6060965699625586176,HIP 62229,110810,191.308,-57.35858570401222,50.55334497113012,0.020117525,240.1308,-201.0291121333119,-131.33962040164909,0.9862605,7.5448947,8.026518,6.899242,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.063644184545316,0.0008641298180407,5.417991484545315,0.0008641298180407,1.127276,49.71,0.95
Gaia DR3 6143175840408947840,HIP 59296,105671,182.477,-46.20876552057342,50.55359913198679,0.02479273,391.43787,-382.3124683850498,-84.02841259061294,1.0336177,8.066553,8.669564,7.326461,4555.144,4554.654,4555.6143,4.5671,4.5656,4.5681,0.1624,0.1496,0.1691,19.7741,19.763,19.7861,6.585313401763569,0.0010649436319507,5.845221401763569,0.0010649436319507,1.343103,49.72,1.0
Gaia DR3 1827242816201846144,HIP 98505,189733A,300.182,22.709741105168277,50.56684941372739,0.016198024,250.34389,-3.208339784864691,-250.32333085817575,0.95120126,7.428371,7.893073,6.797157,4897.251,4896.5737,4897.9824,4.513,4.5125,4.5136,-0.1874,-0.1912,-0.1838,19.7679,19.7604,19.7801,5.947700477984976,0.0006955854243546,5.316486477984976,0.0006955854243546,1.095916,51.94,0.87
Gaia DR3 6490470881687779968,HIP 115123,219764,349.772,-60.52085491449015,50.622796569357625,0.018246438,102.88705,-93.3655965907071,-43.22741300179678,1.0515261,8.482868,9.13658,7.706968,4399.5527,4395.743,4400.966,4.6391,4.6349,4.6418,0.3397,0.3232,0.3499,19.7468,19.724,19.7663,7.004598666684491,0.0007826837134627,6.228698666684491,0.0007826837134627,1.429612,51.97,1.17
Gaia DR3 6189329043571426944,HIP 65669,\N,201.974,-26.950893753633324,50.636091716112496,0.026273666,225.36302,-197.5324987250333,-108.48689397400896,1.4286926,10.837475,12.009733,9.762084,3530.4736,3513.2256,3537.0598,4.7804,4.7253,4.7881,-0.2153,-0.3925,-0.1586,19.6884,19.5585,19.8531,9.359775889111644,0.0011267170115685,8.284384889111644,0.0011267170115685,2.247649,48.04,2.95
Gaia DR3 3082317193037072256,HIP 38625,64606,118.641,-1.4125566023335825,50.71416764263571,0.5135312,258.20355,-251.9570675488245,-56.450973459384834,18.420408,7.2459936,7.6080647,6.642158,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,5.771640109634043,0.021989061431296,5.167804509634043,0.021989061431296,0.9659067,52.01,1.85
Gaia DR3 1209182041427374080,HIP 75277,136923,230.694,18.919305187888703,50.74538571235775,0.018029777,242.65018,-229.90493072878724,77.60691004519808,0.9015958,6.958224,7.3489423,6.3952813,5243.718,5242.9434,5244.4746,4.4824,4.4818,4.4831,-0.5381,-0.5449,-0.5311,19.6938,19.6875,19.7006,5.485206789500795,0.0007715216743959,4.922264089500796,0.0007715216743959,0.953661,49.67,0.92
Gaia DR3 2384000217021721600,HIP 113602,\N,345.14,-23.95439911955039,50.76311724809625,0.01897675,394.91937,191.28731415471967,-345.5003164175645,1.0859003,10.682732,11.815236,9.628812,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.210473416411904,0.0008117604513024,8.156553416411905,0.0008117604513033,2.186424,49.15,3.03
Gaia DR3 2383999392388000640,HIP 113605,\N,345.153,-23.971174013637587,50.77758394634132,0.017188543,397.95554,194.13144484107667,-347.39255735629183,1.040946,10.691419,11.82505,9.636045,3354.6865,3309.53,3501.2515,4.2769,4.1181,4.6641,-0.8389,-1.0272,-0.3791,19.7086,19.581,19.8967,9.21977916408528,0.0007350575866187,8.164405164085279,0.0007350575866187,2.189005,49.36,3.19
Gaia DR3 6053245135154609280,HIP 59072,105211,181.721,-64.61389471172151,50.79192327463149,0.10494329,50.36112,34.27029065373058,-36.90243212526111,1.5433817,4.0608897,4.2305994,3.73655,6863.083,6861.719,6864.379,4.0078,4.0053,4.0107,-0.5216,-0.5362,-0.5081,19.6966,19.6426,19.745,2.589862990146674,0.0044865751950022,2.265523290146673,0.0044865751950022,0.4940494,50.79,0.51
Gaia DR3 1814070838668707840,HIP 102357,352860,311.092,19.74716000109157,50.80441958228267,0.5725253,555.60864,30.088694103111607,-554.7933430497548,32.36998,9.649384,10.557216,8.602612,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.178891470544492,0.0244717986072906,7.132119470544494,0.0244717986072906,1.954604,50.18,1.99
Gaia DR3 1892539307049423872,HIP 109812,\N,333.63,27.85755819173504,50.819395732748646,0.026914489,572.90094,-211.58183267371408,532.3989367585818,1.1725422,9.65697,10.547167,8.72783,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.187117483865627,0.0011500348420385,7.257977483865629,0.0011500348420385,1.819337,50.56,1.68
Gaia DR3 5006921282807193856,HIP 3261,\N,10.3751,-33.62668039402395,50.92453466243157,0.019735927,428.62085,-347.32860325188466,-251.15468558745272,1.0563297,9.839479,10.761517,8.893009,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.374114345998562,0.0008415594445079,7.42764434599856,0.0008415594445079,1.868508,50.29,1.93
Gaia DR3 4792774797545800832,HIP 27321,39060,86.8212,-51.06613625782335,50.930690628822894,0.14821085,84.1988,5.160196860824648,84.0405295978282,3.0716627,3.8232422,3.9215844,3.660152,7938.053,7931.928,7943.877,4.2095,4.1859,4.2211,-0.3739,-0.4561,-0.309,19.8294,19.7377,20.0871,2.358140026615549,0.0063191108558302,2.1950498266155494,0.0063191108558302,0.2614324,51.87,0.51
Gaia DR3 5630532113072532736,HIP 46626,82342,142.617,-32.102006288521814,50.9426573151017,0.018943131,321.50647,-67.17767187303566,314.40988050985624,0.93104035,8.002315,8.539155,7.305927,4576.884,4560.448,4582.1333,4.5138,4.4878,4.5196,-0.6394,-0.7207,-0.5974,19.6771,19.6182,20.1916,6.537722976320682,0.0008074664805541,5.841334976320683,0.0008074664805541,1.233228,51.71,0.91
Gaia DR3 4224259562941398400,HIP 99711,192263,303.499,-0.8657212651967648,50.94324624411764,0.02298936,268.25687,-62.729646893375545,260.8193687444885,0.9987769,7.512979,7.9978533,6.8673406,4810.8853,4809.462,4812.0977,4.5142,4.5134,4.5152,-0.1845,-0.1904,-0.1787,19.6068,19.5517,19.6192,6.048412079756282,0.0009799289998513,5.402773679756283,0.0009799289998513,1.1305127,50.27,1.13
Gaia DR3 5702029029197580160,HIP 42430,73752,129.782,-22.659852437256102,50.9663435616347,0.3068424,518.96844,-240.31861308092607,459.9730493350704,6.453854,5.1269636,5.231778,4.3492813,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3.66338098729155,0.0130734875132234,2.885698687291549,0.0130734875132234,0.8824967,50.2,0.98
Gaia DR3 4367026303085396352,HIP 85042,157347,260.714,-2.3886581335581094,50.96943844765955,0.02509384,118.58055,48.7024277536496,-108.11762302723793,0.96263945,6.121606,6.4551454,5.6102753,5561.0615,5560.07,5562.4907,4.3529,4.3523,4.3537,-0.3991,-0.4073,-0.3901,19.6112,19.5979,19.6434,4.65815524402494,0.0010690834992703,4.146824544024939,0.0010690834992703,0.8448701,51.39,0.85
Gaia DR3 5059643105878789632,HIP 14555,\N,46.9806,-28.22022128578243,51.00860644344269,0.018694947,352.95636,-333.93252578346227,-114.312150520049,1.3292198,9.426588,10.383174,8.45547,3599.7278,3581.9426,3651.8374,4.2869,4.2249,4.4218,-0.683,-0.7703,-0.4693,19.6166,19.5596,19.6716,7.964805293779225,0.0007958571358068,6.9936872937792245,0.0007958571358068,1.927704,52.38,5.03
Gaia DR3 3331979901042416512,HIP 29800,43386,94.1113,12.272992041846027,51.05181761882636,0.096936114,204.02615,82.77514649355062,186.48042272707457,0.9790633,4.9164104,5.1468368,4.554791,6455.563,6453.8164,6457.346,4.1404,4.1373,4.1439,-0.6123,-0.6301,-0.5941,19.5807,19.5413,19.6233,3.45646644531484,0.0041231509439678,3.09484704531484,0.0041231509439678,0.5920458,51.0,0.9
Gaia DR3 5285775539195330560,HIP 34890,56533,108.277,-63.342389043533394,51.05388225075709,0.015648464,634.6468,-266.9093284881792,575.791573847767,0.942,8.570059,9.300671,7.744372,4179.2197,4175.5913,4180.11,4.5353,4.5302,4.5362,-0.0023,-0.0303,0,19.5928,19.5789,19.6482,7.110202861984815,0.0006655754154905,6.284515861984815,0.0006655754154905,1.556299,50.02,0.95
Gaia DR3 6514632718428652928,HIP 113850,\N,345.837,-49.72659212090753,51.14944957002365,0.017496156,111.1302,-29.53678858744169,-107.13309193317644,1.0369618,9.903913,10.905701,8.910142,3723.329,3712.218,3737.0781,4.6377,4.625,4.6542,-0.2721,-0.3813,-0.1543,19.59,19.5026,19.8952,8.448117822695673,0.0007427728319209,7.454346822695674,0.0007427728319213,1.995559,48.15,1.93
Gaia DR3 2299942278201276288,HIP 112527,216520,341.877,83.69754684546947,51.156088144995465,0.018420473,191.41539,-151.7695896816981,116.64407764323914,1.0398425,7.2939115,7.728653,6.6870947,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,5.838398135053675,0.000781911832373,5.231581335053674,0.000781911832373,1.0415583,50.15,0.64
Gaia DR3 6748283784056800384,HIP 98130,188474,299.156,-31.335176843971848,51.15731381284287,0.025003806,410.43213,409.2186102031583,31.538107780561567,0.99363804,8.074735,8.631279,7.3687263,4570.5166,4559.585,4584.315,4.5503,4.5461,4.5546,-0.372,-0.4041,-0.3267,19.5451,19.5253,19.6225,6.61927366154997,0.0010613356163307,5.91326496154997,0.0010613356163307,1.2625527,52.11,1.14
Gaia DR3 1264630412816366720,HIP 73996,134083,226.826,24.86846415306875,51.187520920833634,0.08791835,247.19809,184.7140536323467,-164.27907154680298,1.0779387,4.802299,5.034543,4.4395275,6456.2046,6453.5967,6457.6934,4.0862,4.0827,4.1041,-0.7164,-0.732,-0.6424,19.5272,19.3299,19.5844,3.348119483024373,0.0037296680053131,2.985347983024374,0.0037296680053131,0.5950155,50.7,0.76
Gaia DR3 1603267143629157120,HIP 76315,139477,233.835,60.086268676908446,51.222192287747625,0.017109105,236.73474,171.9239039167985,-162.743687938706,0.96859026,8.033153,8.606881,7.3146935,4533.7534,4527.113,4536.42,4.5525,4.5466,4.5553,-0.068,-0.0933,-0.0559,19.5548,19.5194,19.652,6.580443810733955,0.0007253096593755,5.861984310733956,0.0007253096593755,1.2921875,52.43,0.74
Gaia DR3 3595317540095019520,HIP 57959,\N,178.316,-7.376604841403783,51.24901005587501,0.032233085,534.4442,-166.75753431209648,-507.762304520818,1.5194023,10.850741,12.095081,9.739248,3241.7988,3235.5972,3289.2292,4.149,4.1235,4.3196,-0.8349,-0.8617,-0.6544,19.5225,19.3448,19.6174,9.39916840410987,0.0013657486047842,8.287675404109871,0.0013657486047842,2.355833,48.63,3.34
Gaia DR3 4303294039306246656,HIP 97675,187691,297.758,10.41511259772722,51.31327446246717,0.08975392,277.68777,241.71285307318405,-136.6945085973383,0.8700896,4.9761753,5.2625175,4.545422,6019.515,6018.5205,6020.553,4.1602,4.1589,4.1614,-0.2133,-0.2197,-0.2059,19.4711,19.4364,19.5046,3.5273239462262493,0.0037982054688612,3.09657064622625,0.0037982054688612,0.7170955,51.57,0.77
Gaia DR3 5210240327318434304,HIP 40702,71243,124.634,-76.9192479593938,51.31717474962205,0.098105684,153.91325,110.51480172689814,107.12500961635024,1.665392,3.949889,4.1629195,3.5758235,6532.6333,6530.8477,6534.3906,3.9655,3.9635,3.9674,-0.1698,-0.1866,-0.1507,19.5077,19.4682,19.5426,2.5012026920974346,0.004151320617205,2.1271371920974342,0.004151320617205,0.587096,51.4,0.49
Gaia DR3 4759543295545939840,HIP 25544,36435,81.9126,-60.41641048258048,51.33708293726009,0.017541526,175.19006,-148.33013121418483,-93.21871095856172,0.90608394,6.8062754,7.1867604,6.2565584,5311.339,5295.0845,5345.0586,4.483,4.4687,4.5047,-0.2395,-0.3842,-0.1001,19.4486,19.4042,19.4778,5.358431338326584,0.0007419771251662,4.808714338326583,0.0007419771251662,0.930202,51.1,0.52
Gaia DR3 2163558855915068416,HIP 103859,200560,315.672,45.88539608945451,51.3935491443389,0.01798655,430.5681,406.8303781858543,140.98918707066915,1.0219617,7.431637,7.9218545,6.7791324,4818.725,4817.8228,4819.6484,4.5096,4.5089,4.5103,-0.0472,-0.0525,-0.0419,19.4479,19.4403,19.4551,5.986180051509969,0.0007599650016838,5.3336754515099685,0.0007599650016838,1.1427221,51.65,0.72
Gaia DR3 5698015743046182272,HIP 39757,67523,121.886,-24.304115553778075,51.39988628348321,0.2445377,95.24951,-82.88573139167518,46.92999524626171,4.3845735,2.7505891,3.302004,2.5121741,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,1.3053998908411284,0.0103309737318806,1.0669848908411286,0.0103309737318806,0.7898299,51.99,0.66
Gaia DR3 1505214930047542784,HIP 69824,\N,214.352,45.44439491661948,51.45781615623223,0.013123105,47.494877,43.83856544816847,-18.27412112888469,1.0249636,9.535872,10.449208,8.592963,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.093128755133115,0.0005537829465191,7.150219755133116,0.0005537829465196,1.856245,53.64,1.33
Gaia DR3 4978625041828782848,HIP 1720,\N,5.4033,-46.09420912934239,51.56932314669639,0.044583566,472.09534,-305.4073669022962,-360.0004956660082,2.381462,11.090558,12.476602,9.922872,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.652515156395232,0.001877317786997,8.48482915639523,0.0018773177869979,2.55373,50.1,3.98
Gaia DR3 3573119499842945280,HIP 57459,\N,176.682,-14.017879008158031,51.57618845808181,0.04271119,1059.9047,710.864871406546,-786.1737162923367,1.1660542,10.616167,11.931175,9.469295,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.17841322053474,0.0017982366405204,8.03154122053474,0.0017982366405213,2.46188,48.95,3.0
Gaia DR3 5130446359011574528,HIP 11565,15468,37.26,-19.977995540634517,51.60644957393304,0.13596049,646.40247,588.7913006891815,266.7600677550194,6.4538274,8.393935,8.991557,7.543962,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.957454907296183,0.0057208960958674,6.107481907296183,0.0057208960958674,1.447595,52.9,1.95
Gaia DR3 3317901165746471552,HIP 29860,43587,94.3163,5.100714219407709,51.61647406160722,0.123500295,269.29272,-211.53224109677708,166.6513585689015,1.9793032,5.5651684,5.857744,5.0732384,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,4.12911007210783,0.0051955891949204,3.63718007210783,0.0051955891949204,0.7845056,51.76,0.78
Gaia DR3 4530744134231683840,HIP 92043,173667,281.415,20.544817390173183,51.674311685441225,0.121413454,335.77808,-9.0864737300157,-335.65510379164584,2.9641812,4.0786414,4.317568,3.6749194,6313.346,6311.6304,6314.927,3.8141,3.8073,3.8203,-0.5776,-0.6172,-0.5483,19.8054,19.5951,20.0456,2.645014902141951,0.0051020795839646,2.241292902141951,0.0051020795839646,0.6426486,52.37,0.68
Gaia DR3 3655492127855307136,HIP 72312,130307,221.816,2.7028759229953887,51.76425150006539,0.02622853,297.70276,-287.1360033039,-78.61204158024492,1.15596,7.514656,7.976599,6.886801,4893.271,4891.3535,4895.563,4.5358,4.534,4.5386,-0.3354,-0.3514,-0.3038,19.3131,19.2962,19.3353,6.084805692939211,0.0011002677033049,5.456950692939211,0.0011002677033049,1.089798,50.84,1.04
Gaia DR3 1891459758430361088,HIP 112800,\N,342.662,34.85743807991158,51.77182311397065,0.03624635,896.3227,840.1661935782612,312.2740644644397,1.2142041,10.791406,11.9540205,9.715793,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.361873293365562,0.001520285690101,8.286260293365562,0.001520285690101,2.2382275,52.82,3.04
Gaia DR3 6796392812250051712,HIP 100925,194640,306.934,-30.87016390569721,51.798854110220354,0.019205278,521.8226,-14.273038461906085,-521.6273045061087,0.83317596,6.44275,6.797461,5.913723,5472.4863,5469.0835,5493.1133,4.4222,4.4199,4.432,-0.4966,-0.5181,-0.4313,19.2758,19.1471,19.2923,5.01435076213228,0.0008051091847769,4.485323762132279,0.0008051091847769,0.883738,51.5,0.82
Gaia DR3 772395274857111552,HIP 56829,101206,174.748,42.33073845966741,51.807746081152814,0.115142114,454.2538,-129.26438438756563,435.473576870472,3.9019883,7.883088,8.445723,7.1642103,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.45506149262547,0.0048260801579962,5.73618379262547,0.0048260801579962,1.2815127,50.61,1.15
Gaia DR3 4737533237421005952,HIP 15774,21209A,50.8233,-49.990718471368105,51.81551879878728,0.0142003,364.19452,243.9312743574564,270.4351863474762,0.9356406,8.1923895,8.778672,7.4624524,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.764688754257115,0.0005951028020882,6.034751654257114,0.0005951028020882,1.3162196,50.64,1.73
Gaia DR3 4737533134341791872,HIP 15771,21209B,50.8179,-49.99285917471648,51.82516103214388,0.011967211,367.0918,239.5513995409312,278.1573430418499,1.0545129,9.520383,10.413131,8.591858,3908.1924,3907.834,3909.0786,4.6828,4.6818,4.6835,-0.0377,-0.0401,-0.0341,19.2742,19.2651,19.2869,8.093086301081094,0.0005014257254529,7.164561301081094,0.0005014257254525,1.821273,50.16,5.62
Gaia DR3 3562962623740696576,HIP 54677,97233,167.891,-14.994031549534432,51.87483578869705,0.66003174,916.1699,693.0715544307121,-599.182035897168,26.688833,8.551208,9.24983,7.705573,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.125991674752495,0.027630315167205,6.280356674752493,0.027630315167205,1.544257,44.0,1.93
Gaia DR3 5038817840251308288,HIP 7235,9540,23.3172,-24.178664853360644,51.9066670617371,0.02141085,315.40463,272.58585477452147,-158.6727460585307,0.91304463,6.7783146,7.1519737,6.231178,5375.9287,5371.185,5386.0405,4.4917,4.4808,4.5109,-0.0548,-0.0888,-0.0091,19.2388,19.2048,19.2734,5.354430318159754,0.0008957052206963,4.807293718159754,0.0008957052206963,0.9207957,51.27,0.88
Gaia DR3 6171375049483037696,HIP 67153,119756,206.419,-33.044368166381204,51.90738085981107,0.2259385,484.84833,-462.1815100959553,-146.51330754449714,3.3921711,4.144167,4.3272157,3.7897727,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2.720312579105448,0.0094518796626501,2.3659182791054487,0.0094518796626501,0.537443,51.91,0.75
Gaia DR3 1807953155988203264,HIP 98677,190067,300.642,15.589488822854015,51.91673833590014,0.018369569,603.06683,-158.79663189916985,-581.7845517100523,0.89025795,6.9592805,7.329732,6.412411,5359.677,5352.0615,5367.527,4.5298,4.5191,4.5591,-0.2125,-0.2348,-0.1356,19.22,19.1686,19.256,5.535817500701174,0.0007683266553599,4.988948000701174,0.0007683266553599,0.917321,51.71,0.83
Gaia DR3 650337664425397632,HIP 40375,68834,123.648,13.023259147351093,51.974523149703614,0.02483729,431.9169,-420.79990895869526,97.36350973845212,1.0662732,8.345874,9.007921,7.566393,4379.523,4377.278,4385.923,4.5915,4.5897,4.6016,0.3434,0.3316,0.3795,19.2125,19.1795,19.233,6.924826567516099,0.001037690983952,6.145345567516099,0.001037690983952,1.441528,54.53,1.26
Gaia DR3 565169459378433152,HIP 1092,\N,3.41817,80.66661102105323,51.97771491425637,0.01565575,311.4356,250.6147702400354,184.8901657048928,1.1433004,10.218442,11.350484,9.163852,3574.737,3566.9546,3575.2866,4.6575,4.6435,4.6585,-0.1294,-0.1922,-0.1255,19.1953,19.1766,19.244,8.79752791392201,0.0006540501108878,7.742937913922011,0.0006540501108873,2.186632,51.12,3.31
Gaia DR3 5570642264461522048,HIP 31555,\N,99.0749,-40.00636495667074,51.99983897182415,0.18783589,234.5034,-230.95638194756705,40.63242315329103,17.13314,9.847228,10.821683,8.875584,3497.8625,3496.703,3502.4666,4.0652,4.0587,4.1044,-1.1662,-1.1718,-1.1401,19.8485,19.3475,19.9645,8.427237993774334,0.0078439132654333,7.455593993774334,0.0078439132654333,1.946099,51.51,1.52
Gaia DR3 3542490095189596544,HIP 57361,\N,176.394,-20.353158942725205,52.0844998919469,0.15209383,174.98499,163.11007103154446,63.36282660870046,7.123,10.820279,12.032339,9.724655,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.403821492414576,0.0063410130642438,8.308197492414578,0.0063410130642429,2.307684,49.63,3.55
Gaia DR3 2436812303124645504,HIP 115445,220339,350.772,-10.763086828148516,52.164287919347096,0.027512643,521.7654,452.191600058604,260.3111604249784,0.9584467,7.543477,8.003902,6.913093,4884.119,4882.347,4885.908,4.5355,4.5338,4.5368,-0.4366,-0.4467,-0.4233,19.1685,19.1527,19.2203,6.130343416607403,0.0011452845061241,5.499959416607403,0.0011452845061241,1.090809,51.37,1.25
Gaia DR3 6337717036911729024,HIP 71957,129502,220.766,-5.659606440348068,52.18150644577868,0.38553604,334.73053,110.00224987751628,-316.1392626253554,3.766522,3.7671251,3.989909,3.3889115,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2.3547081637065137,0.0160439236922118,1.976494563706515,0.0160439236922118,0.6009975,53.54,0.95
Gaia DR3 6404403585367962752,HIP 110400,\N,335.428,-65.52517168390257,52.18419446593389,0.018852895,163.61053,-70.83771672461597,147.48025006855943,1.2884723,11.013954,12.251785,9.911304,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.601648919642964,0.0007845008154685,8.498998919642966,0.0007845008154694,2.340481,62.4,3.67
Gaia DR3 4805806449875760384,HIP 25775,274255,82.5586,-42.697965975254135,52.196324720371145,0.012250171,147.50311,33.70199184457394,-143.60133843342038,1.0475849,9.101789,9.93493,8.209831,4000.1545,3993.9294,4001.804,4.5987,4.5924,4.6007,-0.0248,-0.0737,-0.0081,19.1608,19.1491,19.1951,7.689988621346981,0.0005096318365183,6.79803062134698,0.0005096318365183,1.725099,51.56,3.73
Gaia DR3 6335064087152916224,HIP 75201,\N,230.516,-4.777508623880735,52.21004716861264,0.016563052,297.2455,-296.98256412797787,-12.499901597750773,1.1529278,8.901265,9.67874,8.044777,3973.3372,3972.2424,3977.6235,4.5253,4.5245,4.5264,-0.5024,-0.511,-0.5002,19.1415,19.1307,19.1645,7.490035427848152,0.0006888752949363,6.633547427848152,0.0006888752949363,1.633963,52.95,1.55
Gaia DR3 540136568911394944,HIP 1860,\N,5.85333,77.18949370674841,52.26920080385856,0.0117955925,838.6441,-837.4275392665952,45.15536907999602,1.0061883,10.425796,11.551885,9.372041,3591.5615,3591.1455,3592.439,4.7541,4.753,4.7558,-0.0266,-0.0313,-0.0191,19.0837,19.0728,19.0928,9.017025298926896,0.000490036268177,7.963270298926896,0.0004900362681765,2.179844,50.71,2.72
